y;message
0;imagine being able say you know what no sanctions no forever hearings on ieaa regulations no more hiding under the pretense of friendly nuclear energy you have days to i e let in the inspectors quit killing the civilians respect the border and rights of your neighboring country or we whoever we are will shut off your nuclear plant your monitoring system and whatever else we fancy like your water treatment plants and early warning sandstorm system and the traffic lights of all major cities and yes pinky finger to lip edge so your teenagers revolt and topple your regime disconnect facebook buwhahjahahaha 
0;but jack from raleigh wasn t done he came back with this bit of furious grammatical genius holy hell jack calm down god d mn hilarious who writes your material grazid mm never even acknowledged we were here well accept when uber ticked him off grazid not only interacts with us he calls you dumb when you re being dumb right beeaner 
0;the star box allows you to link your comment to facebook and twitter you can go to your profile and change settings if you click back on yellow star it will return to grey 
0;cheney rush nugent the list is endless 
0;obama i m blow n mo smoke up yo arses anyone wonder why the dem s as such sheep it must be some dna thing not to be able to do simple math i just don t get it 
0;why isn t the us uk france germany italy etc taking these people in why is a country that s the size of new jersey over of which is desert that was still a poor smiley rd world country just yrs ago that already has unemployment problems expected to absorb s of s soon to be s of s of uneducated smiley rd world refugees why don t you petition your govt to take in a few of these people 
1;who told you that stupid ask yourself who kick his daughter out of the house at the age when it s comes protecting weaman you guys the last ppl on earth who can open their mounths 
0;glad you realize this p kidding 
1;you re an idiot baldo 
0;call the vote slap this bastard down in front of his people let this pimp murderer punk liar peddle his toilet papers in hell 
0;i feel like you just tricked me into clicking that link again of shit i don t want to see it s not appealing to everyone i really don t want to have to look at this work and ponder the philips head screw indents of her nipples and why the artist made that decision there isn t anything i personally can take away from that piece in terms of line art color and composition that i can t get from non fetish work this is a taste issue not an art issue 
1;you show your stupidity and ignorance each and every day 
1;wait until you are a minority in your own rednecked country it won t be long now habla usted espa ol 
0;well you are special damnit clown 
0;holy shit son is droppin science 
1;its faggot you ignorant fuck plus what you trying to impress us with your girl scout club you dumb shit fuck you your faggot ass cousins and fuck m o b you stupid fuck what is that a little gang full of wannabes cuz unless its a cartel you aint impressing shit we butt fuck little bitches like you and your cousins down here and the chop you into pieces cuz your little club ain t shit dumb mudafucka 
0;how many more americans casualties were incurred after nixon took over what about civilian casualties 
0;jobs jobs jobs republicans can approve infrastructure projects and put people to work including eco friendly waterline updates more important to maintain failure apart then work together for success 
1;get thatdick outta your mouth so you can talk 
0;considering obama s preferred methods of dealing with prisoners this may be the best way i mean we re not going to get any intel out of them anyway and any that we do happen to get will be released to the msm immediately letting the other bad guys know what we know so what s the point of capturing these a holes might as well off them when we get somebody sensible back in the white house then we can go back to capturing them you know at the point when the soldier grabbing the goon doesn t have to worry about getting sued by the cretin who s being represented by one of barry s personal injury squad because he punched the murderous thug in the chops 
0;blaine jungwirth afrika bambaataa the efc is kind of bs for grad school i went straight through so they still looked at my parents resources unfortunately my college graduation present from pops was a firm handshake and the you re a man now you pay it for moment 
0;most bankruptcies take months or years to resolve gm s took a few days 
0;never mentioned race moron it s a high crime area no matter what race you might be 
1;judging by your prior posts listed in your profile you are a piece of foul white trash what kind of animals raised you 
0;lebron isnt weak he just doesnt hit free throws down the stretch close out games passes up the last shot and if he isnt up by or more with smiley mins left they lose he is considered the best reg season player but playoffs belong to kd and kobe every year 
0;fucking hot 
0;bullchit using a scat phrase in your chittyhonor obama and his handlers namely axelrod have incorporated bin lladen as a mythological enhancement to your communist hero s fading image your are not only full of it unhinged and repulsive you are a liar 
1;ryan go back to sucking your mothers teat boywonder 
1;your are an idiot 
1;very sorry i mentioned it just keep bitching here where you are sure it will amount to nothing 
0;thought it would be lung cancer 
0;ikr i know about them and other close friendship group since long time ago but some fans like bjs sones never believe in me until now since i m a sone some of bj even said don t act like you are an angel like your angel please tt i m cassonexotic wonderful but i loove ne esp dara cl please sones blackjacks ignore fake sone fake blackjack who always make a fire fanwar 
0;rourke needs to give me a fucking like preparation a does wayne brady need to slap a bitch 
0;what the hell are you talking about 
1;uh guest using uh doesn t make you sound intelligent or superior it makes you sound like the moron you always prove yourself to be in your case you should spell it duh 
0;xxthebossxx which one there s 
0;let s get nasty damnit doc thats what you need to say 
0;i am sorry mr ramsey your race card has been declined you are over your limit 
1;well done chubbs i wish i was as fat as you 
0;she isn t that annoying give her a break that s a low blow 
0;every fu cking bump is a foul when you guard lebron 
0;how about trying this have your kids come home before am say about pm he is take responsability for your kids 
1;you are wrong beside stupid asshole i was production supervisor in a printing company indetroit making usd and spent all my life in printing now i am years old and still working part time in printig company in detroit and never worked in liquor store 
1;what a selfish slutbag that fucking fat ass chubby cheeked bitch probably got mad because her precious baby boy was hungry how dare he eat food not only do children require food to grow and become helathy adults but this bitch probably fed them hoho s and twinkies i can just hear her now get off my food you little shit that s my motherfucking twinkie momma s got the munchies then whack with a fucking hammer what a cunt 
1;your mother should have had an abortion and thus none of us would be subjected to your stupidity tonight 
0;manu was cleared by doctors for minor basketball work with his hand 
0;i bet you bitch like hell about you taxes too keeping people in jail is not cheap 
0;robert moroni you fuckin dimwit do you know what a parody is it s a fuckin parody of fox news and it sounds accurate to me 
1;to dummy scummy adam caith stop twisting history you despicable fool you are soon choking with your own lies 
0;now you re making me hungry 
1;y dntchu go suck dick sme whrr else hoe 
0;r just can t stand the truth can you either that or you are truly enjoying your blissful ignorance 
0;you would look beautiful 
0;omfg i have seen it on tv those possitions omg omfg i will do anything to be trained personally by my ultimate bias oh dear fucking indeed fucking god 
0;shultzmaker of you are making a mistake don t be a follower just sayen boston loses by dd tonight more user id smiley hours ago like reply quote flag edit sharetell your friends shultzmakerheat to more user id smiley hours ago like reply quote flag edit sharetell your friends sefersonoh ok mr smiley dimes didn t know any books accepted a smiley cent bet i guess with monopoly money it doesn t matter more fans like this user id smiley hours ago like reply 
0;question are you a boy or a girl 
0;shearnut that you may be correct i do not like people who want to destroy america smiley 
0;if your poor how do you become overweight 
0;esther sussman the coffee candle you always wanted apparently the heat from the candle gives off a coffee smell 
0;truth niggas still going platinum so i dont want to hear bootlegging killed your album you album didnt sell cause its wack 
0;cat can only catch your tongue when you are advocating what is unwholesome 
0;los angeles kings smiley new jersey devils goals on the minute powerplay the dumb shit that took the charge may have just caused the devils the cup 
0;looks like you sarah 
1;and nobody partially gives a fuck about you or your garbage state 
1;learn reading comprehension sure urlacher is above average maybe even great as i said he s the dick butkus of your time in response to the it takes a team comment i just add that it is further proof that the bears suck as for chicago and politics do you really need to be told about the chicago way it influences everything even your crappy organization called the chicago bears 
0;you don t want a president you want a god presidents can t walk on water they can only work with their legislation and it so happens that they re rightwing fanatics 
0;shooting and action motherfuckers 
0;if you are talking of the entitlement of social security because of its insolvency the moneys stolen by president johnson should be paid back first the problem isn t entitlements those dollars get recirculated back into the economy the problem is all the bogus creation of agency s and contracts under some pretext so all these unnecessary agency s can rape americas tax coffers its contracts contracts contracts that are americas problem then there is the federal reserve scam 
0;i think i may have something in my eye 
1;when your species finally evolves then we can talk until then you are nothing more than a common pet 
0;okay here comes the question that could really blow this thing up given that wh never manifested anything that suggested that she had a drug problem before she met bobby brown and she did manifest thereafter to what degree could bb find himself culpable in criminal or civil court in the death of wh if the toxicology tests determine that drugs contributed ton her death 
1;your still a loser man we must have really gotten under your skin lol 
0;joe rogan is one naive mother fucker 
0;besides he can rescind all of obama s directives on his first day on the job 
0;the laughs you two heard were triggered by memories of his own high flying exits off moving beasts 
0;you take the money represent the child molester and hold your nose you don t try to look like you re enjoying it 
0;fuck harry potter 
0;famousoriginallucas poor ian 
1;you sound like rain man 
0;the kk the klu klux klan the military wing of the democratic party lol 
0;android is everything steve jobs envisioned ios to be that s why he hated it so much lmfao that was apples most pathetic update yet that shit should not os 
0;rourke needs to give me a fucking like lambeauorwrigley aciddragon reesy s thermos dented reminds me of a killer line from horrible bosses jennifer anniston s horny dentist character reports watching some beefcake guy on tv and fingering herself so hard she broke a nail 
0;if your husband is out of work why don t you have him get back to those candidates about the status of their applications 
0;wtff is this shit he shot the fuck out for this shit diz won and i only seen this clip of the battle smh 
0;you call me what ever you want we both know you refuse to answer tough questions or get into a intelligent debate everyone that reads your comments know you are not smart enough to debate 
0;you konw what just know bullshit 
0;obama has spent more in smiley years than bush did in budget chief jeffrey zients is full of bs if i wanted to watch a horse s ass drop a load of dung i d go out to the farm 
0;megapixel picture quality lcd led in terms of power comsumption on smartphones colors fidelity lcd led you argue about blacks and you forget all the other colors 
1;the easy part about walker pissing me off is he arbitrily takes away a bargained for right then sits back while people like you who know nothing about unions do his dirty work for him why enjoy being a pawn 
0;yes you are correct and in not too disimilar packaging too 
0;i can not believe americans are so stupid fat and lazy you sit around in your lay z boys watching football and listenening to your ipods that you don t even care that the country your grandparents and great parents died to protect is eroding away because of evil liberals i never would have even called a representative in this case a school health inspector would have had their ass handed to them and then the school principle too for even having such a useless position in the first place who has time to inspect kids lunches and who has to pay a person to do that at any school it s time for you idiots to vote out these libs and elect hardcore conservatives across the board who cares who is president if you don t have a conservative house and senate 
0;bath salts gosh but seriously bath salts come in mg packets most of the idiots taking that shit don t realize you are only supposed to take mg at a time most of them take it all at once this leads to some seriously seriously fucked up people doing some seriously fucked up shit and they aren t even close to being banned in most states yet do yourself a favor and stay the fuck far away from that shit 
0;time to jump off the bridge and end this embarrassment thanks 
0;they are only covering it because cbs has been for over six months they can t look as if they ignored the story cnn s ratings are already bad enough 
1;and so dummy bob is there a reasoned foundation for you post that is other than nonsense 
0;please go study up on bain hav e you ever heard of staples dominos pizza sporty authority the fact that you have no idea what you post does not stop you i sure hope you are too ypung to vote because you dont have any idea 
