y;message
0;imagine being able say you know what no sanctions no forever hearings on ieaa regulations no more hiding under the pretense of friendly nuclear energy you have days to let in the inspectors quit killing the civilians respect the border and rights of you neighboring country or we whoever we are will shut off you nuclear plant you monitoring system and whatever else we fancy like you water treatment plants and early warning sandstorm system and the traffic lights of all major cities and yes pinky finger to lip edge so you teenagers revolt and topple you regime disconnect facebook buwhahjahahaha 
0;but jack from raleigh wasn done he came back with this bit of furious grammatical genius holy hell jack calm down god mn hilarious who writes you material grazid mm never even acknowledged we were here well accept when uber ticked him off grazid not only interacts with us he calls you dumb when you re being dumb right beeaner 
0;the star box allows you to link you comment to facebook and twitter you can go to you profile and change settings if you click back on yellow star it will return to grey 
0;cheney rush nugent the list is endless 
0;obama blow mo smoke up yo arses anyone wonder why the dem as such sheep it must be some dna thing not to be able to do simple math just don get it 
0;why isn the us uk france germany italy etc taking these people in why is country that the size of new jersey over of which is desert that was still poor smiley rd world country just yrs ago that already has unemployment problems expected to absorb of soon to be of of uneducated smiley rd world refugees why don you petition you govt to take in few of these people 
1;who told you that stupid ask you who kick his daughter out of the house at the age when it comes protecting weaman you guys the last ppl on earth who can open their mounths 
0;glad you realize this kidding 
1;you re an idiot baldo 
0;call the vote slap this bastard down in front of his people let this pimp murderer punk liar peddle his toilet papers in hell 
0;feel like you just tricked me into clicking that link again of shit don want to see it not appealing to everyone really don want to have to look at this work and ponder the philips head screw indents of her nipples and why the artist made that decision there isn anything personally can take away from that piece in terms of line art color and composition that can get from non fetish work this is taste issue not an art issue 
1;you show you stupidity and ignorance each and every day 
1;wait until you are minority in you own rednecked country it won be long now habla usted espa ol 
0;well you are special damnit clown 
0;holy shit son is droppin science 
1;its faggot you ignorant fuck plus what you trying to impress us with you girl scout club you dumb shit fuck you your faggot ass cousins and fuck you stupid fuck what is that little gang full of wannabes cuz unless its cartel you aint impressing shit we butt fuck little bitches like you and you cousins down here and the chop you into pieces cuz you little club ain shit dumb mudafucka 
0;how many more americans casualties were incurred after nixon took over what about civilian casualties 
0;jobs jobs jobs republicans can approve infrastructure projects and put people to work including eco friendly waterline updates more important to maintain failure apart then work together for success 
1;get thatdick outta you mouth so you can talk 
0;considering obama preferred methods of dealing with prisoners this may be the best way mean we re not going to get any intel out of them anyway and any that we do happen to get will be released to the msm immediately letting the other bad guys know what we know so what the point of capturing these holes might as well off them when we get somebody sensible back in the white house then we can go back to capturing them you know at the point when the soldier grabbing the goon doesn have to worry about getting sued by the cretin who being represented by one of barry personal injury squad because he punched the murderous thug in the chops 
0;blaine jungwirth afrika bambaataa the efc is kind of bs for grad school went straight through so they still looked at my parents resources unfortunately my college graduation present from pops was firm handshake and the you re man now you pay it for moment 
0;most bankruptcies take months or years to resolve gm took few days 
0;never mentioned race moron it high crime area no matter what race you might be 
1;judging by you prior posts listed in you profile you are piece of foul white trash what kind of animals raised you 
0;lebron isnt weak he just doesnt hit free throws down the stretch close out games passes up the last shot and if he isnt up by or more with smiley mins left they lose he is considered the best reg season player but playoffs belong to kd and kobe every year 
0;fucking hot 
0;bullchit using scat phrase in you chittyhonor obama and his handlers namely axelrod have incorporated bin lladen as mythological enhancement to you communist hero fading image your are not only full of it unhinged and repulsive you are liar 
1;ryan go back to sucking your mothers teat boywonder 
1;your are an idiot 
1;very sorry mentioned it just keep bitching here where you are sure it will amount to nothing 
0;thought it would be lung cancer 
