y;message
0;Imagine being able say you know what no sanctions no forever hearings on IEAA regulations no more hiding under the pretense of friendly nuclear energy You have days to let in the inspectors quit killing the civilians respect the border and rights of your neighboring country or we whoever we are will shut off your nuclear plant your monitoring system and whatever else we fancy like your water treatment plants and early warning sandstorm system and the traffic lights of all major cities and yes pinky finger to lip edge so your teenagers revolt and topple your regime disconnect FACEBOOK buwhahjahahaha 
0;But Jack from Raleigh wasn done He came back with this bit of furious grammatical genius Holy hell Jack Calm down GOD MN HILARIOUS Who writes your material GraziD MM never even acknowledged we were here well accept when Uber ticked him off GraziD not only interacts with us he calls you dumb when you re being dumb right beeaner 
0;the Star box allows you to link your comment to Facebook and Twitter You can go to your profile and change settings If you click back on yellow star it will return to grey 
0;Cheney Rush Nugent The list is endless 
0;Obama blow mo smoke up yo arses Anyone wonder why the Dem as such sheep It must be some DNA thing not to be able to do simple math just don get it 
0;Why isn the US UK France Germany Italy etc taking these people in Why is country that the size of New Jersey over of which is desert that was still poor smiley rd World country just yrs ago that already has unemployment problems expected to absorb of soon to be of of uneducated smiley rd world refugees Why don you petition your govt to take in few of these people 
1;who told you that stupid ask yourself who kick his daughter out of the house at the age when it comes protecting weaman you guys the last ppl on earth who can open their mounths 
0;glad you realize this kidding 
1;You re an idiot baldo 
0;Call the vote Slap this bastard down in front of his people Let this pimp murderer punk liar peddle his toilet papers in Hell 
0;feel like you just tricked me into clicking that link again of shit don want to see It not appealing to everyone really don want to have to look at this work and ponder the philips head screw indents of her nipples and why the artist made that decision There isn anything personally can take away from that piece in terms of line art color and composition that can get from non fetish work This is taste issue not an art issue 
1;You show your stupidity and ignorance each and every day 
1;Wait until you are minority in your own rednecked country It won be long now Habla usted espa ol 
0;Well you ARE special damnit Clown 
0;Holy shit Son is droppin science 
1;Its faggot you ignorant fuck plus what you trying to impress us with your girl scout club you dumb shit fuck you your FAGGOT ass cousins and fuck you stupid fuck What is that little gang full of wannabes cuz unless its cartel you aint impressing shit We butt fuck little bitches like you and your cousins down here and the chop you into pieces cuz your little club ain shit dumb mudafucka 
0;How many more Americans casualties were incurred after Nixon took over What about civilian casualties 
0;Jobs jobs jobs Republicans can approve infrastructure projects and put people to work including eco friendly waterline updates More important to maintain failure apart then work together for success 
1;Get thatdick outta your mouth so you can talk 
0;Considering Obama PREFERRED methods of dealing with prisoners this may be the best way mean we re not going to get any intel out of them anyway and any that we DO happen to get will be released to the MSM immediately letting the other bad guys know what WE know so what the point of capturing these holes Might as well off them When we get somebody SENSIBLE back in the White House THEN we can go back to capturing them You know at the point when the soldier grabbing the goon doesn have to worry about getting sued by the cretin who being represented by one of Barry personal injury squad because he punched the murderous thug in the chops 
